id,features
790,"[-0.9601553678512573, -0.7645494341850281, -0.3230942189693451, 1.6834157705307007, 0.1795349270105362, -3.0904767513275146, 1.4947481155395508, 0.23290550708770752, -1.4015388488769531, 0.035584550350904465]"
800,"[-1.6199084520339966, 1.007792592048645, -0.2688012719154358, 1.608846664428711, 0.4310259521007538, -2.204418659210205, -0.10218817740678787, -0.7219231724739075, -1.6072111129760742, 0.3616216480731964]"
810,"[-0.7341989278793335, -0.8453077673912048, 0.8440913558006287, 0.7067146897315979, -0.5048496127128601, -2.350046396255493, 1.5699228048324585, 0.24554704129695892, -0.7462466359138489, 1.4951050281524658]"
820,"[-1.6440374851226807, -0.2568266987800598, -0.1745598167181015, 0.9393004775047302, -0.4638949930667877, -2.1386735439300537, 1.7564491033554077, -0.5469344854354858, -0.4035654664039612, 1.5501434803009033]"
830,"[-0.6889168620109558, 0.6260296106338501, 0.5891868472099304, 0.3937492370605469, 0.0554363876581192, -2.538339614868164, 0.8730141520500183, 0.368449330329895, -1.0037519931793213, -0.1605931669473648]"
840,"[-1.2404216527938843, 0.45878589153289795, 1.1350905895233154, 1.4599833488464355, -0.9842199087142944, -1.7789479494094849, 1.4130401611328125, 0.27191129326820374, -0.44454896450042725, 2.170771360397339]"
850,"[-0.6224051713943481, 1.2625709772109985, 1.1367607116699219, 0.028276611119508743, -0.3431147038936615, -1.8862513303756714, 1.220452070236206, 0.2372509092092514, -0.8783786296844482, 0.43740108609199524]"
860,"[-0.3191007971763611, 0.935824453830719, -1.128592610359192, -0.3858594298362732, -0.18687869608402252, -2.9910197257995605, 1.6920939683914185, -1.7357889413833618, -0.29591143131256104, -0.5423436760902405]"
870,"[-1.2438318729400635, 1.353090524673462, 1.5697171688079834, 0.3861628472805023, -0.017738185822963715, -2.156174898147583, -0.05327365919947624, 0.7557457089424133, 0.5032814145088196, 2.4890575408935547]"
880,"[-1.061704158782959, -0.4256540834903717, 0.6307651996612549, 0.35547196865081787, -0.89970862865448, -2.140782356262207, 1.839892864227295, 0.6539713740348816, -1.879938006401062, 0.9418001770973206]"
890,"[-1.1923472881317139, 0.026179002597928047, -1.0705565214157104, 2.070486307144165, 0.08571112155914307, -2.5448999404907227, 2.1381306648254395, 0.4462333023548126, -0.21488019824028015, 0.8397467136383057]"
900,"[0.39039698243141174, 1.2072560787200928, 1.3725817203521729, 1.6735416650772095, -0.17658324539661407, -2.8029751777648926, -0.6473512649536133, 0.3123352527618408, -0.7850924134254456, 1.757256031036377]"
910,"[-0.9547783732414246, -0.30719584226608276, 1.2551854848861694, 1.0997028350830078, -0.5188233852386475, -1.7455952167510986, 1.6661769151687622, 0.4948714077472687, -0.24857574701309204, 0.6740356683731079]"
920,"[-0.5560568571090698, -0.3826585114002228, -0.40663325786590576, 0.8317601084709167, -0.23231081664562225, -2.0700931549072266, 2.3870913982391357, 0.616676926612854, -0.34033188223838806, 1.8494552373886108]"
930,"[-0.893880307674408, 0.2644924223423004, 0.5789884924888611, 0.02141084522008896, -0.7756298780441284, -2.037731409072876, 1.2852860689163208, -0.5478084087371826, 0.08542164415121078, 0.9301648736000061]"
940,"[-0.29656291007995605, 0.23278823494911194, 0.4771834909915924, -0.1483544409275055, -0.49222251772880554, -2.3594911098480225, 1.7829599380493164, 0.19613415002822876, -0.1711171269416809, 2.0758397579193115]"
950,"[-1.1175639629364014, -0.29755279421806335, 0.31366127729415894, 0.5667257905006409, -0.5542422533035278, -2.4518020153045654, 1.2022587060928345, 0.07068177312612534, -0.5350574254989624, 0.810512125492096]"
960,"[-0.8253600001335144, 0.3987582325935364, 1.2169252634048462, 0.2408805936574936, -0.7131515741348267, -2.4583489894866943, 1.1138174533843994, 0.5817936658859253, -0.8081616163253784, 1.1649712324142456]"
970,"[-1.49590003490448, -0.5979198217391968, -0.21460802853107452, 1.0697686672210693, -0.5851755738258362, -2.260882616043091, 1.3903248310089111, 0.38000059127807617, 0.6849305629730225, 1.338224172592163]"
980,"[-0.8101822733879089, 0.5088856220245361, 0.9212905168533325, -0.10643891990184784, -0.5981560349464417, -1.968794345855713, 1.4595539569854736, -0.4791850447654724, -0.4637795686721802, 1.5988404750823975]"
990,"[-1.9152820110321045, 0.06257980316877365, -0.05009487643837929, 1.0201022624969482, -0.30314958095550537, -1.5280755758285522, 1.8914828300476074, 0.017174679785966873, -0.7999692559242249, 0.9327176809310913]"
1000,"[-1.0704957246780396, -0.45591920614242554, 0.7120007872581482, 0.9686052203178406, -0.4262111186981201, -2.4678022861480713, 1.7293429374694824, 0.1416391283273697, -0.13234642148017883, 1.4480631351470947]"
1010,"[-0.24723835289478302, 0.053702645003795624, 0.5649923086166382, -0.058486033231019974, -0.6568933725357056, -2.258847713470459, 0.9544257521629333, 0.015614611096680164, -0.6349655985832214, 1.493821144104004]"
1020,"[-1.0828733444213867, -0.3260883092880249, 0.7314773797988892, 0.17379222810268402, -0.9696367383003235, -2.880255699157715, 1.4863229990005493, -0.12663422524929047, -0.6285313963890076, 0.6795623898506165]"
1030,"[-1.4186985492706299, 0.3358398377895355, 0.20926222205162048, 0.4324077069759369, 0.1394375115633011, -3.039445161819458, 0.9705023765563965, 0.2897755205631256, -0.7540027499198914, 0.7958070635795593]"
1040,"[-0.8503476977348328, 0.6420059204101562, 0.9659750461578369, 0.8754050135612488, -0.5147237181663513, -2.5703017711639404, 1.4680273532867432, 0.3146001398563385, -0.258234441280365, 1.3132721185684204]"
1050,"[-0.9997805953025818, 0.06734110414981842, 0.6602333784103394, 0.4649612009525299, -0.6537788510322571, -1.846625804901123, 1.3960515260696411, 0.33070147037506104, -0.5324870347976685, 1.4586498737335205]"
1060,"[-1.1209074258804321, -0.05444111302495003, -1.1544510126113892, 0.6951152086257935, 0.23217637836933136, -2.182255268096924, 2.4820468425750732, 0.07168931514024734, 0.7074968218803406, 1.336351990699768]"
1070,"[-3.390507459640503, -0.2925540804862976, -1.153930425643921, 1.7223529815673828, 0.5406575202941895, -0.8791811466217041, 3.3779733180999756, -0.8715168237686157, -0.3975771963596344, 0.9786490201950073]"
1080,"[-1.8282111883163452, -1.2653658390045166, 0.8346649408340454, 0.11565422266721725, -1.476813554763794, -2.383887767791748, 2.876309633255005, -1.0853327512741089, -0.8329629302024841, 1.3045974969863892]"
1090,"[-1.1097079515457153, -0.9364564418792725, 0.08162953704595566, 0.3999573290348053, 0.19575873017311096, -2.283324718475342, 1.3750824928283691, 0.1396026462316513, -0.7023292183876038, 1.355617642402649]"
1100,"[0.16816283762454987, 0.32510486245155334, 1.0913136005401611, -0.5440395474433899, -0.18285977840423584, -1.7745132446289062, 1.2720814943313599, 0.3116624355316162, -1.073542594909668, 0.9425963759422302]"
1110,"[-1.0541577339172363, -0.3128277659416199, 1.102602243423462, 0.7861029505729675, 0.38265153765678406, -2.6245477199554443, 1.9472432136535645, 0.41279110312461853, -0.04887992516160011, 0.8357947468757629]"
1120,"[-1.0988357067108154, 0.410350501537323, 0.8823416233062744, 0.6988372802734375, -0.04780196025967598, -2.334902286529541, 1.6505485773086548, 0.43263259530067444, -0.7168764472007751, 1.193228006362915]"
1130,"[-0.8390714526176453, 0.18041566014289856, 0.4812113344669342, 0.32020166516304016, -0.5911903381347656, -2.768784999847412, 1.1719884872436523, 0.5190971493721008, -0.497518926858902, 0.976820170879364]"
1140,"[-1.0721850395202637, 0.1352127343416214, 0.9437522292137146, 0.703617513179779, -0.46796536445617676, -1.6595185995101929, 1.7179925441741943, 0.06864292919635773, -1.2677665948867798, 0.9799337983131409]"
1150,"[-0.2208286076784134, 0.46799662709236145, 1.1074477434158325, -0.10704506933689117, -0.40706968307495117, -1.7239797115325928, 0.6221462488174438, 0.3040328323841095, -0.8514420986175537, 0.6094282269477844]"
1160,"[-1.2415193319320679, 0.1248372346162796, 0.1949639916419983, 0.6906050443649292, -0.22507034242153168, -2.224299192428589, 1.4553086757659912, 0.11707504093647003, -0.47450050711631775, 0.8460189700126648]"
1170,"[-0.7249574065208435, -0.21295404434204102, 1.420108437538147, 0.5428021550178528, -0.9230576753616333, -2.1598031520843506, 1.3464854955673218, 0.6819177865982056, -0.33440661430358887, 0.768869936466217]"
1180,"[-0.6480090022087097, -0.71955806016922, 0.5728549957275391, 0.95597243309021, -0.4692121744155884, -2.808985948562622, 1.3937162160873413, 0.1740918606519699, -0.8092165589332581, 1.062019944190979]"
1190,"[-1.4570138454437256, -0.23663882911205292, 0.7102778553962708, 1.5444960594177246, -0.4824530780315399, -2.4995815753936768, 0.7407628297805786, 0.3867887854576111, -0.6392452716827393, 1.0739502906799316]"
1200,"[-1.4252808094024658, 0.8291522264480591, 0.2145322859287262, 1.0757759809494019, 0.2346951812505722, -2.3029067516326904, 1.4131537675857544, 1.135180950164795, -0.9383170008659363, -0.12912717461585999]"
1210,"[-0.3556947410106659, -0.18547528982162476, 0.45455309748649597, 1.7947267293930054, -0.6631544828414917, -2.207735776901245, 1.8931866884231567, 0.14036980271339417, -0.6588241457939148, 1.6416434049606323]"
1220,"[-1.0221235752105713, 0.3335306644439697, -0.054035402834415436, 0.8662152290344238, 0.13623303174972534, -2.164044141769409, 2.438624143600464, -0.32063135504722595, 0.4798753559589386, 0.7112416625022888]"
1230,"[-1.37340247631073, 0.010392362251877785, 0.09286979585886002, 0.880172610282898, 0.07830991595983505, -2.6036672592163086, 1.6326017379760742, -0.02939700148999691, -0.666490375995636, 1.5643343925476074]"
1240,"[-0.12637300789356232, -0.8656884431838989, 0.041638072580099106, 1.458278775215149, -1.238209843635559, -2.034991502761841, 1.9599592685699463, 0.8079932332038879, -0.45647695660591125, 1.1553841829299927]"
1250,"[-0.6628731489181519, -0.4093295931816101, 0.35563939809799194, -0.3026345372200012, 0.05543501675128937, -2.7902657985687256, 1.3745414018630981, 1.382204532623291, -1.202800989151001, 1.3890615701675415]"
1260,"[-0.7493301033973694, 0.04147552326321602, 0.8044281005859375, 0.7383710145950317, -0.6028225421905518, -2.4653053283691406, 1.347252607345581, 0.490075945854187, -0.4379349946975708, 1.0661580562591553]"
1270,"[0.9793458580970764, -0.8842738270759583, 1.8163261413574219, 0.18236477673053741, 0.5885254144668579, -3.2728970050811768, 0.311225950717926, -0.22643858194351196, -0.4623696804046631, 0.5687867403030396]"
1280,"[-0.388500452041626, -0.06347746402025223, -0.2164287269115448, 0.743209183216095, -0.9630208015441895, -2.793362855911255, 1.6058077812194824, 1.6063988208770752, 0.38221147656440735, 1.7193289995193481]"
1290,"[-0.7861183881759644, -0.03082050196826458, 0.9407021999359131, 1.7223483324050903, -0.5238124132156372, -2.7442784309387207, 1.5917450189590454, 0.4689788520336151, -0.1212371438741684, 0.8355223536491394]"
1300,"[-0.7494708299636841, 0.7230046391487122, 0.24816806614398956, 0.29655882716178894, -0.30876410007476807, -2.4510204792022705, 2.1289308071136475, 0.12447372078895569, -0.890214204788208, 1.6680047512054443]"
1310,"[-0.9946786761283875, -2.466102123260498, 0.3126298189163208, 0.9995315670967102, -0.11278299987316132, -2.360349178314209, 2.426759719848633, 0.12119989842176437, -0.4265851080417633, -0.050160426646471024]"
1320,"[-0.8474008440971375, 0.5105616450309753, 0.7462548017501831, 0.2477465271949768, -0.3292984068393707, -2.654356002807617, 1.3389300107955933, 0.3963754177093506, -0.8175531625747681, 1.4644380807876587]"
1330,"[-0.8532207608222961, -0.5850214958190918, 0.9122405648231506, 1.144308090209961, -0.36106476187705994, -2.5208897590637207, 1.3772279024124146, -0.16189788281917572, -0.11187505722045898, 1.5053569078445435]"
