id,features
420,"[-0.2423488348722458, 0.20766116678714752, -0.09127315878868103, 0.7557776570320129, 0.1989339143037796, -0.4412958323955536, 0.6383049488067627, -0.09080186486244202, 0.17980606853961945, -0.15869317948818207]"
430,"[-0.43360912799835205, -0.0002349257847527042, 0.4067654609680176, 0.8183842897415161, 0.6116006374359131, -0.6523967385292053, 0.43486613035202026, 0.3793271481990814, 0.4833022356033325, -0.7056734561920166]"
440,"[-0.5397046804428101, -0.10991797596216202, 0.46649861335754395, 0.6494060158729553, -0.16419421136379242, -0.561943531036377, 0.44052058458328247, 0.10983064025640488, -0.1525954008102417, 0.2983333170413971]"
450,"[-0.43164804577827454, -0.046022601425647736, 0.28495755791664124, 0.4095389246940613, 0.3726438283920288, -1.068102478981018, 0.22943998873233795, 0.0754750445485115, 0.4727836549282074, -0.15765933692455292]"
460,"[-0.13246354460716248, -0.08671970665454865, 0.9465955495834351, 0.9425260424613953, 0.18530163168907166, -1.184281826019287, -0.46442484855651855, -1.1077086925506592, 1.0075103044509888, -0.5854430794715881]"
470,"[-0.18091166019439697, 1.024030327796936, 0.05951659753918648, 1.1809380054473877, -0.09213899075984955, -0.20034991204738617, 0.17394040524959564, 0.40343549847602844, 0.5160021781921387, 0.15058866143226624]"
480,"[-0.5498870611190796, -0.23957253992557526, -0.1865612417459488, 0.31884878873825073, -0.248682901263237, -0.9260755777359009, 0.2798582911491394, 0.08036897331476212, -0.26637721061706543, 0.15690279006958008]"
490,"[0.23180454969406128, -0.08838056027889252, 0.1888636350631714, 0.716344952583313, -0.18437069654464722, -0.9232689738273621, 0.5051930546760559, 0.5296562314033508, 0.13234356045722961, -0.19922858476638794]"
500,"[-0.5812065601348877, -0.07689546793699265, 0.43265655636787415, 0.7514014840126038, -0.19273416697978973, -0.5513522624969482, 0.4420164227485657, 0.10030703991651535, 0.2695268988609314, 0.04719647020101547]"
510,"[-0.009136498905718327, 0.2115909904241562, 0.27281108498573303, 0.8005731701850891, 0.0894872397184372, -0.8008167147636414, 0.4930969774723053, 0.47007542848587036, -0.05333811417222023, -0.7359164357185364]"
520,"[-0.5086488127708435, 0.48202934861183167, 0.37339839339256287, 0.5112929940223694, 0.664750874042511, -0.5334384441375732, 0.5077588558197021, -0.6590116024017334, 0.08512254059314728, 0.16606514155864716]"
530,"[-0.5470093488693237, 0.060652777552604675, 0.3042280375957489, 0.45651155710220337, -0.2901725769042969, -0.7051873207092285, 0.31461164355278015, 0.15281732380390167, -0.17371797561645508, 0.3757273256778717]"
540,"[0.6021944284439087, 0.32202211022377014, -0.0627848356962204, 0.9138275980949402, 0.3403940796852112, -0.5624308586120605, 0.6118586659431458, 0.4311601221561432, 0.3704427182674408, 0.03993112966418266]"
550,"[0.043786246329545975, 0.5465096831321716, 0.36228296160697937, 0.7603076100349426, 0.46520552039146423, -0.3351946771144867, 0.7272107005119324, 0.41031691431999207, 0.07701514661312103, 0.42851510643959045]"
560,"[0.5058540105819702, -0.4184155762195587, -0.2708188593387604, 0.47280049324035645, 0.07090450823307037, -1.074900507926941, 0.15975919365882874, 0.7272084355354309, -0.03945185989141464, 0.6662251949310303]"
570,"[-1.0987849235534668, -0.2727721333503723, 1.579189658164978, -0.21834182739257812, 0.22623202204704285, -1.0002678632736206, 0.3945064842700958, 0.5515201687812805, 1.100881576538086, -0.44034624099731445]"
580,"[-0.15259720385074615, 0.01647832989692688, 0.8602137565612793, 0.7207525968551636, 0.2685059905052185, -0.34124672412872314, 0.6867848634719849, -0.5668644309043884, -0.5499938726425171, 0.004973970353603363]"
590,"[-0.2714306712150574, -0.2453707754611969, 0.3729512691497803, 0.44003722071647644, -0.179622620344162, -1.0586868524551392, 0.1429741531610489, 0.36734578013420105, 0.37474146485328674, 0.25202950835227966]"
600,"[-0.3039783239364624, 0.012737611308693886, -0.22688117623329163, 0.3682657778263092, 0.8278257250785828, -0.8072452545166016, 0.556210458278656, -0.32364869117736816, -1.5258357524871826, -0.3133537769317627]"
610,"[-0.0903932973742485, 0.4874800741672516, -0.1598530113697052, 0.3684026002883911, 0.39309030771255493, -0.881851851940155, 0.2641242444515228, -0.08183694630861282, -0.3648799955844879, 0.48115622997283936]"
630,"[1.7875185012817383, -0.18162791430950165, 2.157372236251831, 1.1165285110473633, 0.31785809993743896, -1.3486542701721191, 0.3199272155761719, -1.0761966705322266, 0.4679727554321289, -1.293094277381897]"
640,"[0.19732666015625, 0.1456504911184311, -0.019260896369814873, 0.17783179879188538, 0.4382016360759735, -1.4624114036560059, 0.1325404942035675, 0.24088460206985474, -0.3420847952365875, -0.8091962337493896]"
650,"[-0.27350497245788574, -0.24424158036708832, 0.839628279209137, 0.32682469487190247, 0.6269285678863525, -0.9335185289382935, 0.5063163042068481, 0.40341466665267944, 0.44653263688087463, -0.0749424621462822]"
660,"[-0.22507300972938538, -0.05989230424165726, -0.2824799716472626, 0.360269159078598, -0.1629045456647873, -0.08899617940187454, 0.29360705614089966, -0.10281568020582199, 0.04549674689769745, 0.18074215948581696]"
670,"[-1.4068725109100342, -0.9353787302970886, 1.3390592336654663, -0.4988705813884735, -0.25558537244796753, -0.25662142038345337, 0.6131451725959778, 0.5467572808265686, -0.7808555364608765, 0.21426010131835938]"
680,"[-0.46534332633018494, 1.1160675287246704, 0.8416277766227722, -0.4318380057811737, 0.053606465458869934, -0.24928902089595795, 0.9354840517044067, -0.17737442255020142, -0.41892290115356445, 0.5002589225769043]"
690,"[0.277670681476593, 0.08859916776418686, 0.1790439337491989, 0.3864448666572571, -0.04125959798693657, -0.6265317797660828, 0.34313008189201355, -0.33892571926116943, -0.08745931088924408, 0.36250266432762146]"
700,"[-0.43504980206489563, 0.8684000968933105, 0.4457071125507355, 0.5611722469329834, 0.10211969166994095, -0.4904472827911377, 0.5223944783210754, 0.3811103105545044, -0.07847167551517487, 0.28469687700271606]"
710,"[0.13104823231697083, 0.691118061542511, 0.6947082877159119, 0.9016441106796265, 0.3230445384979248, -0.5685528516769409, 0.703498125076294, -0.0190572626888752, 0.1511494368314743, -0.6665089130401611]"
720,"[-0.47799065709114075, -0.014388174749910831, 0.5537818670272827, 0.33888593316078186, 0.139882892370224, -0.579650342464447, 0.368648499250412, 0.3800411522388458, -0.8577984571456909, 0.7854080200195312]"
730,"[-0.051459040492773056, 0.07555268704891205, 0.06122371926903725, -0.01353514101356268, -0.038249269127845764, -0.19125698506832123, 0.11491911113262177, 0.0064110239036381245, -0.11659391969442368, 0.13108676671981812]"
750,"[-0.20056213438510895, 0.3805392384529114, 0.881783127784729, 0.14146549999713898, -0.37410131096839905, -0.8008372783660889, 0.5904772281646729, -0.12444846332073212, -0.5140027403831482, 0.3182484805583954]"
760,"[0.10343834012746811, 0.7808223962783813, 0.7997662425041199, 0.4478296637535095, -0.2638686001300812, -0.39774125814437866, 0.9272085428237915, -0.5204825401306152, 0.7746339440345764, 0.7349156737327576]"
780,"[-0.6584787368774414, -0.28801587224006653, -0.3565363585948944, 0.513928234577179, 0.0022720792330801487, -0.6132921576499939, 0.40653130412101746, -0.18129077553749084, -0.027466651052236557, 0.4182051420211792]"
790,"[-0.22080892324447632, -0.06517800688743591, -0.04599111154675484, 0.2864817678928375, 0.12584839761257172, -0.4723756015300751, 0.3529852628707886, -0.06341895461082458, 0.10511213541030884, 0.2645854651927948]"
800,"[-0.22415968775749207, -0.1887609362602234, 1.0532084703445435, 0.1833309382200241, 0.054494019597768784, -0.815310001373291, 0.4792746603488922, -0.16848820447921753, -0.5431151986122131, 0.17615291476249695]"
810,"[-0.023381734266877174, 0.5223001837730408, 0.201468825340271, 0.7628253698348999, 0.11089067161083221, -0.5276182293891907, -0.25541722774505615, -0.4111673831939697, 0.27698037028312683, 0.11891000717878342]"
820,"[-1.0897619724273682, -1.0524437427520752, 1.8557040691375732, -0.7585411667823792, -0.19168202579021454, -0.7047219276428223, -0.0589519664645195, -0.2578219473361969, 0.07716275006532669, -0.24426352977752686]"
830,"[-0.7231635451316833, -0.018353423103690147, 0.5041138529777527, 0.7181271910667419, 0.3764069080352783, -0.5669142007827759, 0.2232287973165512, 0.20666305720806122, -0.11054767668247223, -0.2095818817615509]"
840,"[-0.25559139251708984, 0.276690810918808, 0.34847450256347656, 1.1255477666854858, 0.244980588555336, 0.07565020024776459, 0.9177607297897339, 0.12903493642807007, 0.13688434660434723, 0.07937921583652496]"
850,"[-0.39089876413345337, 0.7351014614105225, 0.05076195299625397, -0.799664318561554, 1.0794339179992676, -1.3841696977615356, 0.18922396004199982, 1.4442317485809326, 0.20650506019592285, 0.5907779932022095]"
860,"[0.8883658647537231, 0.5643331408500671, -0.24088959395885468, 0.42672285437583923, 0.22297488152980804, -1.8474254608154297, 0.05477321147918701, -0.8373745083808899, 0.1630333960056305, 0.3501848876476288]"
870,"[1.2071447372436523, 1.4980475902557373, 0.5953071713447571, 1.6561203002929688, -0.5164114832878113, -0.5281574726104736, 0.43802154064178467, -0.18033070862293243, 0.4067578911781311, -0.13962174952030182]"
880,"[0.23517020046710968, 0.5711201429367065, 0.013354877941310406, 0.23302924633026123, 0.4332279860973358, -1.0155341625213623, 0.3718119263648987, -0.06988019496202469, -0.16180408000946045, -0.5771191716194153]"
900,"[-0.4725395441055298, 0.5223896503448486, 0.7618317008018494, 0.6995947360992432, -0.04049818962812424, -0.7571638226509094, -0.1838938295841217, 0.22699251770973206, -0.3807201087474823, 0.5002382397651672]"
910,"[-0.6171783804893494, 0.26691266894340515, 0.952213704586029, 0.3068559765815735, -0.20612139999866486, -0.9440319538116455, 0.07434529066085815, 0.16927501559257507, -0.38306158781051636, 0.18182410299777985]"
920,"[-0.7556092739105225, 0.25751370191574097, 0.7953593730926514, 0.6796645522117615, -0.5506848096847534, -0.6829137206077576, 0.19710810482501984, 0.1447954624891281, -0.12244986742734909, 0.015424980781972408]"
930,"[-0.6129009127616882, 0.2679530680179596, 0.884602963924408, 0.18587414920330048, -0.17692133784294128, -1.0877695083618164, 0.04124603420495987, -0.009755510836839676, -0.2692737579345703, 0.1804119497537613]"
940,"[-0.736625611782074, 0.2193048745393753, 0.7558739185333252, 0.44562527537345886, -0.5875768661499023, -0.7117869257926941, 0.16516707837581635, -0.06479868292808533, -0.2998284697532654, 0.19050821661949158]"
950,"[-0.8742185831069946, 0.11281942576169968, 0.7893561720848083, -0.04155919328331947, -0.05846446007490158, -1.095319390296936, 0.14670749008655548, -0.278215229511261, -0.46799588203430176, 0.05995732545852661]"
960,"[0.4548952579498291, -0.22104808688163757, -0.045632414519786835, -0.4132940173149109, 0.3837677836418152, -1.4106848239898682, 0.5795148611068726, 1.477577805519104, -0.9396536350250244, -0.3044906258583069]"
970,"[-0.6821486949920654, -0.5014789700508118, 0.7690099477767944, -0.19817547500133514, -0.49080270528793335, -0.5056688785552979, 0.6157317161560059, 0.5650577545166016, -1.0583486557006836, -0.5085477828979492]"
980,"[-1.4843028783798218, -1.1391648054122925, 1.1428674459457397, -0.666955828666687, -1.7150604724884033, -0.5202130675315857, 0.2984789311885834, -1.0266330242156982, 0.09317930042743683, -0.2387728989124298]"
990,"[-0.37915149331092834, -0.16033382713794708, 0.04467087611556053, -0.03024337999522686, -0.2134297639131546, -0.9037682414054871, 0.6516677141189575, -0.2813084125518799, 0.43189314007759094, -0.8963823914527893]"
1000,"[0.3646552264690399, 1.7465354204177856, 1.0970383882522583, 0.7499012351036072, -0.8625326752662659, -0.9992451667785645, -0.4673687517642975, -0.6434318423271179, 0.37055540084838867, 0.1310761421918869]"
1010,"[-0.4752543270587921, 0.4909842908382416, 0.3703518807888031, 0.7488812208175659, -0.06687185168266296, -0.9533348679542542, -0.18462985754013062, 0.07262009382247925, -0.01685277372598648, -0.020642941817641258]"
1020,"[-0.8465772271156311, 0.0021552094258368015, 0.5502151250839233, 0.6388702988624573, -0.14905625581741333, -0.397676557302475, 0.5597836375236511, -0.09146646410226822, -0.14308993518352509, -0.18938623368740082]"
1030,"[-0.33492109179496765, 0.49923795461654663, 0.4781111776828766, 0.8709293007850647, 0.4883646070957184, -0.9132372140884399, -0.30103233456611633, 0.06617844104766846, -0.057550497353076935, 0.19477079808712006]"
1040,"[0.6362568736076355, 0.06903234869241714, 0.9016475677490234, 0.539591908454895, -1.0951663255691528, -0.9556400179862976, 0.04598117619752884, 1.0794384479522705, -0.02972540818154812, -0.4321504533290863]"
1050,"[0.04634953662753105, 0.736080527305603, 0.8143954277038574, 0.14752916991710663, 0.38572466373443604, -1.2552382946014404, 0.7345518469810486, -0.42489904165267944, 0.1747734248638153, -0.3238056004047394]"
1060,"[-0.12096655368804932, 0.26754096150398254, 0.13504846394062042, 0.0004531725135166198, -0.2798382341861725, -0.7527352571487427, 0.5432021617889404, 0.4183325469493866, 0.17939218878746033, 0.7153351306915283]"
1070,"[-0.23101913928985596, 0.05884276330471039, 0.34164372086524963, 0.14449217915534973, -0.20528091490268707, -0.5507193207740784, 0.3181905746459961, 0.08480775356292725, -0.17942185699939728, 0.34683898091316223]"
1080,"[-0.14335116744041443, 0.45288899540901184, 0.5717368125915527, 0.09609953314065933, -0.14464814960956573, -0.7384175062179565, 0.7823981642723083, 0.017653530463576317, -0.38934510946273804, 0.23612862825393677]"
1090,"[-0.03265172615647316, 0.10709787160158157, 0.27704694867134094, 0.16541829705238342, -0.2819903492927551, -1.0417289733886719, 0.39020735025405884, 0.21428139507770538, -0.008097417652606964, 0.38980376720428467]"
1100,"[-0.6171658039093018, -0.06833930313587189, -0.11306490749120712, 0.24251891672611237, 0.36453917622566223, -0.9634379744529724, 0.1529911905527115, -0.044368986040353775, 0.5161775350570679, -0.13216179609298706]"
1120,"[-0.5094270706176758, 0.4933120012283325, 0.4686456620693207, -0.14602844417095184, 0.006393479183316231, -0.8069019317626953, 0.5900499820709229, 0.2057161033153534, -0.2576558291912079, 0.08687052130699158]"
1130,"[-0.3997689187526703, 0.7436409592628479, 0.04423120617866516, 0.08743735402822495, -0.5084653496742249, -0.7238240838050842, 0.6812614798545837, 0.17389467358589172, -0.49329614639282227, -0.4718041718006134]"
1150,"[-0.7663243412971497, 0.5394611954689026, 1.1427175998687744, 0.33973395824432373, 0.0747053250670433, -0.4439169764518738, 0.292659729719162, 0.5955482721328735, -0.44006532430648804, 0.24520054459571838]"
1160,"[-0.45983585715293884, 0.13668088614940643, 0.6947662234306335, 0.30759531259536743, -0.274063378572464, -0.9352384805679321, -0.10651644319295883, 0.5804141163825989, 0.19217266142368317, 0.0686279758810997]"
1170,"[0.6923730373382568, 0.49717462062835693, -0.0944850742816925, 1.051250696182251, -0.26982423663139343, -0.38985368609428406, 0.37768125534057617, -0.40594372153282166, -0.023392964154481888, 0.24199026823043823]"
1180,"[-1.003630518913269, -0.1083574891090393, 0.5790573954582214, 0.2656593322753906, 0.611000120639801, -0.7812275886535645, 0.13902561366558075, -0.13888414204120636, -1.1803760528564453, 0.29337000846862793]"
1190,"[0.051804251968860626, 0.6306108832359314, 0.9865627288818359, 0.3666709065437317, 0.23154115676879883, -0.6999927163124084, 0.3263072371482849, 0.03768128901720047, 0.14447422325611115, 0.5004350543022156]"
1200,"[-0.3731481730937958, 0.1650175154209137, -0.14289790391921997, -0.029079852625727654, -0.24881505966186523, -1.040161371231079, 0.32130923867225647, 0.19747720658779144, -0.7415334582328796, 0.28240513801574707]"
1210,"[-0.28846654295921326, -0.226357564330101, -0.10648413002490997, 0.38170015811920166, -0.05364159122109413, -0.9923441410064697, 0.1648426055908203, 0.028487103059887886, -0.3117334544658661, 0.569790244102478]"
1220,"[-0.08275673538446426, 0.52335524559021, 0.24235035479068756, 0.46824565529823303, -0.2326633781194687, -0.9751651883125305, 0.241241455078125, -0.29039809107780457, -0.24129946529865265, 0.4148236811161041]"
1230,"[-0.16331955790519714, 0.18196344375610352, 0.9311556816101074, -0.09467029571533203, -0.09977111965417862, -0.9875648021697998, 0.19699475169181824, 0.29313772916793823, -0.4836757779121399, 0.33302512764930725]"
1240,"[-0.418608695268631, 0.05671113729476929, -0.09940557181835175, 0.20812328159809113, -0.5293024182319641, -0.8863533139228821, 0.4348273277282715, 0.04367431625723839, -0.5692974925041199, 0.2777167856693268]"
1250,"[-0.39403244853019714, -0.014082738198339939, 0.6219261884689331, 0.14133398234844208, -0.5502247214317322, -1.0110963582992554, 0.3437502086162567, 0.17300428450107574, -0.15253043174743652, 0.2002962976694107]"
1260,"[-0.8105068802833557, 0.3752084970474243, 1.2528434991836548, -0.34926071763038635, -0.2719542384147644, -0.7881551384925842, 0.5755524635314941, -0.16256488859653473, -0.1499568372964859, 0.0397285521030426]"
1270,"[-0.7312952876091003, -0.002926266985014081, 0.11095012724399567, 0.37628471851348877, -0.2537049353122711, -0.858755350112915, 0.2070723921060562, 0.1548660844564438, -0.21862715482711792, 0.353446364402771]"
1280,"[-0.5609256029129028, 0.14225925505161285, 1.1652811765670776, -0.011787832714617252, 0.12241284549236298, -0.8402060270309448, 0.30334213376045227, 0.11983431875705719, -0.1672777533531189, 0.3240891993045807]"
1290,"[-0.706506073474884, 0.023126209154725075, 0.6397008299827576, 0.38684970140457153, 0.20793215930461884, -0.7573528289794922, 0.44206202030181885, -0.16942904889583588, -0.0011328894179314375, 0.02005598694086075]"
1300,"[-0.1440686583518982, 0.10503315180540085, 1.0516587495803833, 0.11954926699399948, 0.22019816935062408, -1.0437589883804321, 0.13494373857975006, 0.21493840217590332, -0.21369200944900513, 0.37576034665107727]"
1310,"[0.05931543558835983, -0.9370473623275757, 0.4728008508682251, 0.11099831759929657, 0.22292348742485046, 0.4473261535167694, 1.815302848815918, 0.8649285435676575, -1.2063417434692383, 0.8932220339775085]"
1320,"[0.042218051850795746, 0.22041232883930206, 0.05604393035173416, 0.45363250374794006, -0.08344373852014542, -0.673455536365509, 0.7484614849090576, -0.005246256943792105, -0.3048686683177948, -0.25495603680610657]"
1330,"[-0.6279854774475098, 0.5855726599693298, 0.39190319180488586, 0.40845781564712524, 1.1216962337493896, -1.251832365989685, -0.5117509365081787, 0.02842610329389572, 0.17672917246818542, 0.1560392528772354]"
1340,"[-0.732633650302887, 0.4033410847187042, 0.5447086691856384, 0.08960838615894318, -0.3073729872703552, -0.8318377733230591, 0.13300976157188416, 0.5831581950187683, -1.0342010259628296, -0.13051898777484894]"
1350,"[-0.26397162675857544, 0.7274702191352844, -0.30235975980758667, 0.07830003648996353, -0.23603209853172302, -0.896879255771637, 0.5450232028961182, 0.8841040134429932, -0.48301899433135986, -0.05755271390080452]"
1360,"[0.9992223978042603, 0.73244309425354, -0.5847625136375427, 0.26092520356178284, 0.471551775932312, -1.7690823078155518, -0.2610659897327423, 0.7832785844802856, -1.0951740741729736, 0.5069310069084167]"
1370,"[-0.7522587180137634, -0.08572012931108475, -0.045498985797166824, 0.26411834359169006, -0.293841689825058, -0.6546851992607117, 0.5308794975280762, -0.1325191855430603, -0.04131729528307915, 0.07339633256196976]"
1380,"[-1.0613279342651367, 0.21426160633563995, 0.24089843034744263, 0.5154060125350952, -0.0699988454580307, -0.5883388519287109, 0.11307861655950546, 0.7470387816429138, 0.13732998073101044, 0.33412331342697144]"
1390,"[-0.4066559672355652, 0.5147159099578857, 0.3612956404685974, 0.6754742860794067, 0.33791598677635193, -0.6983464360237122, 0.4244447350502014, 0.11146263033151627, 0.08668780326843262, -0.04572341591119766]"
